,dia,isbn,PNL,Titulo,Autor,Chancela,pvp,pvp_livro_do_dia,desconto_livrdia_perc,Participant_Name,stand
0,2021-09-06,9789898809599,,"""Não Sou Dono Da Verdade, Mas Sou Possuído Por Ela",Vários,Lucerna,13.85,6.93,49.96389891696751,Principia | Lucerna,D45
1,2021-09-09,9789898268266,,«Esta Má Fama…»,Guy Debord,Letra Livre,12.0,7.2,40.0,Livraria Letra Livre,D21
2,2021-09-10,9798668539505,,(Quase ) Tudo O Que Precisa De  Saber Sobre O Caminho De Santiago De Compostela,Ego Editora,Ego Editora,15.5,11.0,29.03225806451613,Ego Editora,D08
3,2021-08-28,508733138018,,(Sobre)Viver Na Selva – Luto E Perdas,Ana Santos E Susana Esteves,Ideias Com História,39.9,31.92,19.999999999999993,Ideias Com História,D05
4,2021-09-11,508733138018,,(Sobre)Viver Na Selva – Luto E Perdas,Ana Santos E Susana Esteves,Ideias Com História,39.9,31.92,19.999999999999993,Ideias Com História,D05
5,2021-08-26,9789898268358,,&Etc. Prolegómenos A Uma Editora,Aaavv,Letra Livre,15.0,9.0,40.0,Livraria Letra Livre,D21
6,2021-09-02,9789897543432,,"1,2,3 Uma Colher De Cada Vez","Maria Antonia Pecas, Joao Breda",Marcador Editora,24.9,12.45,50.0,Editorial Presença,B62
7,2021-09-10,5603486240110,,10 Fabulosas Histórias Da Quinta,Yoyo Studios,Yoyo Books,16.65,9.99,39.99999999999999,Yoyobooks,B05
8,2021-09-04,9789899005587,,10 Passos Para Você Se Tornar O Seu Mestre,Izabel Telles,Edições Mahatma,13.0,10.4,20.0,Edições Mahatma,D10
9,2021-09-02,9789897690105,,100 Maneiras De Faze-Los Obedecer,Anne Bacus,Matéria Prima,15.8,9.5,39.87341772151899,Clube Do Autor,A63
10,2021-08-30,9789720706584,,1001 Atividades Pré-Escolares,-,Porto Editora,12.5,6.25,50.0,Porto Editora,B06
11,2021-09-04,9789720706584,,1001 Atividades Pré-Escolares,-,Porto Editora,12.5,6.25,50.0,Porto Editora,B06
12,2021-09-09,9789720706584,,1001 Atividades Pré-Escolares,-,Porto Editora,12.5,6.25,50.0,Porto Editora,B06
13,2021-08-26,9789722353861,✅,1001 Factos Fixes E Bizarros,"Nick Bryant, Ken Singleton, Glen Singleton",Editorial Presença,12.9,6.45,50.0,Editorial Presença,B56
14,2021-09-08,9789726096214,,1001 Maneiras De Recuperar A Saúde,,Selecções,28.85,17.31,40.00000000000001,Vasp Premium,A46
15,2021-08-29,9789899971561,✅,1001 Noites - Vol 1,Anónimo,E-Primatur,22.0,13.0,40.909090909090914,E-Primatur & Bookbuilders,D66
16,2021-09-11,9789899971561,✅,1001 Noites - Vol 1,Anónimo,E-Primatur,22.0,13.0,40.909090909090914,E-Primatur & Bookbuilders,D66
17,2021-09-01,9789898857279,,1001 Piadas Fixes,Glen Singleton,Jacarandá Editora,12.9,6.45,50.0,Editorial Presença,B52
18,2021-09-02,9789722353878,✅,101 Experiências Científicas Fixes,Glen Singleton,Editorial Presença,12.9,6.45,50.0,Editorial Presença,B56
19,2021-09-06,9789898895103,,101 Problemas Para Cientistas De Bancada,"Joel Levy,  Aavv",Jacarandá Editora,14.95,7.5,49.83277591973244,Editorial Presença,B50
20,2021-09-07,9789896268404,✅,1147 - A Conquista De Lisboa Na Rota Da Segunda Cruzada,Miguel Gomes Martins,A Esfera Dos Livros,22.9,13.74,40.0,Vasp Premium,A46
21,2021-09-12,5602072460314,,12 Leis Da Pedagogia Moderna Para Os Pais,"Kemp, Daniel",Cetop,17.9,10.74,40.0,Clássica Editora,A53
22,2021-08-27,9789898456007,,12 Regards,Belém Lima,Uzina Books,49.95,15.0,69.96996996996997,Blaubookshop – Chili Com Carne,D28
23,2021-09-11,9780141988511,,12 Rules For Life,Jordan B Peterson,Penguin Books,16.25,9.75,40.0,Fnac,A05
24,2021-09-04,9789724074931,,120 Perguntas E Respostas Da Nova Lei Das Rendas,"Regina Santos Pereira, Filomena Lança",Almedina,22.9,11.45,50.0,Grupo Almedina,A93
25,2021-09-05,9789898871947,,150 Exercícios Para Um Cérebro Activo,Vasco Catarino Soares,Manuscrito Editora,15.9,7.95,50.0,Editorial Presença,A85
26,2021-08-28,9789898853684,,150 Jogos Para Manter O Seu Cérebro Jovem,Self,Self Editora,14.84,7.42,50.0,Self Editora,C19
27,2021-09-01,9789898853684,,150 Jogos Para Manter O Seu Cérebro Jovem,Self,Self Editora,14.84,7.42,50.0,Self Editora,C19
28,2021-09-04,9789898853684,,150 Jogos Para Manter O Seu Cérebro Jovem,Self,Self Editora,14.84,7.42,50.0,Self Editora,C19
29,2021-09-07,9789726508533,,168 Maneiras De Tirar Partido Dos Seus Números Da Sorte,Lillian Too,Didáctica Editora S.A,21.35,10.68,49.97658079625293,Plátano Editora,A16
30,2021-09-07,9789895405077,,170 Citações E Mensagens Para Motivar E Inspirar,Bookout,Bookout,11.9,7.14,40.0,Vasp Premium,A46
31,2021-08-27,9789896657925,,1793,Niklas Natt Och Dag,Suma De Letras (Prh),18.8,11.28,40.00000000000001,Penguin Random House,A111
32,2021-09-10,9789896684938,,1983: O Mundo À Beira Do Apocalipse,Taylor Downing,Vogais,26.58,15.95,39.99247554552295,20|20 Editora,C35
33,2021-08-29,9789726081890,✅,1984,Jerome K. Jerome,Antígona,16.0,9.6,40.0,Antígona,A42
34,2021-09-04,9789726081890,✅,1984,Jerome K. Jerome,Antígona,16.0,9.6,40.0,Antígona,A42
35,2021-09-12,9789726081890,✅,1984,Jerome K. Jerome,Antígona,16.0,9.6,40.0,Antígona,A42
36,2021-09-11,9789722357159,,1ª Temporada,Paula Pimenta,Editorial Presença,15.9,7.95,50.0,Editorial Presença,B58
37,2021-09-04,9789895428465,,2 Cavalos De Turim,"Joana Bértholo, Rui De Almeida Paiva",Dois Dias Edições,15.0,12.0,20.0,Saguão | Dois Dias | Ymago,C53
38,2021-09-11,9789898866530,,21 Dias De Luta,Urbano Tavares Rodrigues,Minotauro,12.9,7.74,40.0,Grupo Almedina,B68
39,2021-09-01,9789722523615,,21 Discursos Que Mudaram O Mundo,Chris Abbott,Bertrand,17.7,8.85,50.0,Bertrand Editora,A23
40,2021-08-29,9789898864383,,21 Lições Para O Século Xxi,Yuval Noah Harari,Elsinore,24.99,15.0,39.97599039615846,20|20 Editora,D50
41,2021-08-29,9789725567005,,25 De Abril,Ana Maria Magalhães E Isabel Alçada,A. R.,6.95,4.17,40.0,Assembleia Da República,B13
42,2021-09-05,9789725648162,✅,2666,Roberto Bolaño,Quetzal,19.9,9.95,50.0,Bertrand Editora,A41
43,2021-09-04,9789722418232,,28 Crónica De Um Percurso Bl,José-Augusto França,Livros Horizonte,24.9,14.9,40.16064257028112,Livros Horizonte,A87
44,2021-08-30,9789722360883,,3 Minutos Para Meditar,Christophe Andre,Editorial Presença,12.9,6.45,50.0,Editorial Presença,A75
45,2021-08-27,9789895231973,,3 Minutos Para O Sucesso,Ricardo Bellino,Chiado Books,15.0,10.71,28.59999999999999,Grupo Editorial Atlântico,D40
46,2021-09-01,9789895109234,,"31 Anos De Presidência, 31 Decisões","Costa, Jorge Nuno Pinto Da",Grupo Editorial Atlântico,17.0,12.14,28.58823529411764,Grupo Editorial Atlântico,D40
47,2021-08-26,9789720729927,✅,"365 Dias, 365 Piadas - Com Adivinhas Engraçadas",-,Porto Editora,12.2,6.1,50.0,Porto Editora,B08
48,2021-09-03,9789720729927,✅,"365 Dias, 365 Piadas - Com Adivinhas Engraçadas",-,Porto Editora,12.2,6.1,50.0,Porto Editora,B08
49,2021-09-08,9789720729927,✅,"365 Dias, 365 Piadas - Com Adivinhas Engraçadas",-,Porto Editora,12.2,6.1,50.0,Porto Editora,B08
50,2021-09-11,9789720729927,✅,"365 Dias, 365 Piadas - Com Adivinhas Engraçadas",-,Porto Editora,12.2,6.1,50.0,Porto Editora,B08
51,2021-08-30,9789898506023,,365 Histórias Da Bíblia,Sally Ann Wright,Grão De Mostarda,17.99,10.79,40.02223457476376,Vasp Premium,A46
52,2021-09-02,9789897723575,,365 Piadas Para Crianças,Yoyo Studios,Yoyo Books,11.1,6.66,40.0,Yoyobooks,B05
53,2021-08-27,507550129086,,5 Cervejas Para O Virgílio,Carlos Alberto Machado,&Etc,11.0,6.6,40.0,Livraria Letra Livre,D21
54,2021-09-04,9789725565360,,5 De Outubro E A Implantação Da República (O),"Ana Maria Magalhães, Isabel Alçada | Ilustrações De Sofia Cavalheiro",A. R.,6.8,4.08,40.0,Assembleia Da República,B13
55,2021-09-09,9789722418027,✅,5 Minutos De Paz,Jill Murphy,Livros Horizonte,11.9,7.1,40.33613445378152,Livros Horizonte,A87
56,2021-08-29,9789896689230,,50 Ações Para Salvar Mundo,Kim Hankinson,Lilliput,12.69,10.15,20.01576044129235,20|20 Editora,D56
57,2021-09-12,9789899021327,,50 Anos Do Centro De Reabilitação De Paralisia Cerebral Calouste Gulbenkian,Marta Brites Rosa,"Scml, 2020",18.0,14.4,20.0,Santa Casa Da Misericórdia De Lisboa,B02
58,2021-08-28,9789720721150,,50 Truques De Magia Incríveis,-,Porto Editora,14.9,7.45,50.0,Porto Editora,B10
59,2021-08-31,9789720721150,,50 Truques De Magia Incríveis,-,Porto Editora,14.9,7.45,50.0,Porto Editora,B10
60,2021-09-05,9789720721150,,50 Truques De Magia Incríveis,-,Porto Editora,14.9,7.45,50.0,Porto Editora,B10
61,2021-09-10,9789720721150,,50 Truques De Magia Incríveis,-,Porto Editora,14.9,7.45,50.0,Porto Editora,B10
62,2021-09-05,9789896267117,,500 Erros Mais Comuns Da Língua Portuguesa,Sandra Duarte Tavares,A Esfera Dos Livros,16.0,9.6,40.0,Vasp Premium,A46
63,2021-09-08,9789722536998,,55,James Delargy,Bertrand,17.7,8.85,50.0,Bertrand Editora,B14
64,2021-09-11,9789898895448,,60 Atividades Montessori Para O Meu Bebé,Marie-Helene Place,Jacarandá Editora,14.9,7.45,50.0,Editorial Presença,B50
65,2021-08-26,9786589449003,,60+,Oficina Do Livro,Oficina Do Livro,12.0,9.0,25.0,Rede Sem Fronteiras,D51
66,2021-08-27,9786589449003,,60+,Oficina Do Livro,Oficina Do Livro,12.0,9.0,25.0,Rede Sem Fronteiras,D51
67,2021-08-28,9786589449003,,60+,Oficina Do Livro,Oficina Do Livro,12.0,9.0,25.0,Rede Sem Fronteiras,D51
68,2021-08-29,9786589449003,,60+,Oficina Do Livro,Oficina Do Livro,12.0,9.0,25.0,Rede Sem Fronteiras,D51
69,2021-08-30,9786589449003,,60+,Oficina Do Livro,Oficina Do Livro,12.0,9.0,25.0,Rede Sem Fronteiras,D51
70,2021-08-31,9786589449003,,60+,Oficina Do Livro,Oficina Do Livro,12.0,9.0,25.0,Rede Sem Fronteiras,D51
71,2021-09-01,9789899994485,,66 Poemas,"Hans Magnus Enzensberger, Tradução E Notas De Alberto Pimenta",Edições Do Saguão,14.4,8.5,40.97222222222222,Saguão | Dois Dias | Ymago,C53
72,2021-09-06,5602072460192,,"7 Chaves Do Carisma Pessoal, As","Kozubska, Joanna",Cetop,19.9,11.94,40.0,Clássica Editora,A53
73,2021-08-28,9789726852629,,7ª E 8ª Bienais De Jurisdiprudência De Direito Da Família,,Petrony,33.5,20.1,40.0,Quimera Editores,A57
74,2021-08-28,9789898871527,,999+1 Piadas Ainda Mais Secas,"Joao Ramalhinho, Goncalo Castro, Pedro Pinto",Manuscrito Editora,12.9,6.45,50.0,Editorial Presença,A83
75,2021-09-07,9789728968304,,A 1ª. República Portuguesa,António Costa Pinto,Clube Do Colecionador Dos Ctt,41.0,24.6,40.0,Ctt,A19
76,2021-09-06,9789724251950,,A 9ª Vítima,Tami Hoag,Círculo De Leitores,18.74,11.24,40.02134471718249,Círculo De Leitores,B24
77,2021-09-07,9789896415969,,A Abadia De Northanger,Jane Austen,Relógio D’água Editores,10.0,6.0,40.0,Relógio D’água Editores,A72
78,2021-09-09,9789895592463,✅,A Agência De Viagens Lemming,José Carlos Fernandes,Editora Devir,22.0,17.6,19.999999999999993,Editora Devir,C49
79,2021-09-01,9789898819017,,A Agricultura Portuguesa,Francisco Avillez,Ffms - Fundação Francisco Manuel Dos Santos,3.5,1.75,50.0,F. Francisco Manuel Dos Santos,C03
80,2021-08-28,9789895486878,,A Alegria Da Dúvida,Isabel De Sá,Editora Exclamação,14.9,11.92,20.0,Livros De Bordo,D35
81,2021-09-04,9789895486878,,A Alegria Da Dúvida,Isabel De Sá,Editora Exclamação,14.9,11.92,20.0,Livros De Bordo,D35
82,2021-09-09,9789895486878,,A Alegria Da Dúvida,Isabel De Sá,Editora Exclamação,14.9,11.92,20.0,Livros De Bordo,D35
83,2021-09-06,9789898866189,,A Alma Vagueante,Mário Cláudio,Minotauro,14.9,8.94,40.0,Grupo Almedina,B68
84,2021-08-28,9789898958556,,A Alquimia Dos Números,Helena Sousa,Farol,15.98,9.59,39.98748435544431,20|20 Editora,C25
85,2021-08-27,9789896168452,,A Amante Do Governador,"Santos, Jose Rodrigues Dos",Gradiva,22.8,13.68,40.0,Gradiva,B64
86,2021-09-10,9789896168452,,A Amante Do Governador,"Santos, Jose Rodrigues Dos",Gradiva,22.8,13.68,40.0,Gradiva,B64
87,2021-09-11,9789722336963,,A Ameaça,Ken Follett,Editorial Presença,20.19,10.1,49.97523526498267,Editorial Presença,A79
88,,9789896414795,,A Amiga Genial,Elena Ferrante,Relógio D’água Editores,18.0,10.0,44.44444444444444,Relógio D’água Editores,A125
89,2021-08-30,9781696847971,,A Anos-Luz,Carmen Garcia,Ego Editora,14.9,8.0,46.308724832214764,Ego Editora,D08
90,2021-09-03,9789897079986,,A Arte Da Guerra,Sun Tzu,Vogais,9.99,5.99,40.04004004004004,20|20 Editora,C35
91,2021-09-02,9789897022555,,A Arte Da Guerra,Sun Tzu,"Guerra E Paz, Editores",13.0,7.8,40.0,Guerra E Paz  Editores,A50
92,2021-09-06,9789896411008,,A Arte Da Guerra,Sun Tzu,Relógio D’água Editores,15.6,9.0,42.30769230769231,Relógio D’água Editores,A121
93,2021-09-01,9789896416751,,A Arte Da Vida,Zygmunt Bauman,Relógio D’água Editores,17.0,10.0,41.17647058823529,Relógio D’água Editores,A121
94,2021-08-28,9789897225192,,A Arte De Caminhar,Erling Kagge,Quetzal,16.6,8.3,50.0,Bertrand Editora,A39
95,2021-08-27,9789896687922,,A Arte De Fazer Perguntas,Warren Berger,Vogais,20.99,12.59,40.01905669366364,20|20 Editora,C35
96,2021-09-02,9789896687045,,A Arte De Saber Envelhecer,Annabel Streets E Susan Saunders,Nascente,20.99,12.59,40.01905669366364,20|20 Editora,C23
97,2021-09-01,9789897601460,,A Arte Do Gamanço,Austin Kleon,Plátano Editora S.A,14.5,7.25,50.0,Plátano Editora,A16
98,2021-08-27,9789897225406,,A Arte Sueca De Deixar A Vida Em Ordem,Margareta Magnusson,Quetzal,15.5,7.75,50.0,Bertrand Editora,A39
99,2021-08-30,9789897490675,✅,A Árvore Da Escola,Antonio Sandoval,Kalandraka,12.5,7.5,40.0,Kalandraka,C15
100,2021-08-26,9789720030580,,A Árvore Das Palavras,Teolinda Gersão,Porto Editora,16.6,8.3,50.0,Porto Editora,B16
101,2021-09-03,9789720030580,,A Árvore Das Palavras,Teolinda Gersão,Porto Editora,16.6,8.3,50.0,Porto Editora,B16
102,2021-09-08,9789720030580,,A Árvore Das Palavras,Teolinda Gersão,Porto Editora,16.6,8.3,50.0,Porto Editora,B16
103,2021-09-11,9789720030580,,A Árvore Das Palavras,Teolinda Gersão,Porto Editora,16.6,8.3,50.0,Porto Editora,B16
104,2021-09-03,9789899975934,✅,A Árvore Dos Desejos,William Faulkner (Ilust. Don Bolognese),Ponto De Fuga,13.3,6.65,50.0,Ponto De Fuga / Pim! / Edições,A15
105,2021-09-02,9789899975989,✅,A Autobiografia De Alice B. Toklas,Gertrude Stein,Ponto De Fuga,18.8,9.4,50.0,Ponto De Fuga / Pim! / Edições,A15
106,2021-09-12,9789897079900,,A Aventura De Um Fotógrafo Em La Plata,Adolfo Bioy Casares,Cavalo De Ferro,15.98,9.59,39.98748435544431,20|20 Editora,D52
107,2021-08-26,9789899011083,,"A Aventura Do Barry, Um Amigo De Quatro Patas",Dulce Rodrigues,Estúdio Didáctico,17.4,13.05,24.99999999999999,Rede Sem Fronteiras,D51
108,2021-08-27,9789899011083,,"A Aventura Do Barry, Um Amigo De Quatro Patas",Dulce Rodrigues,Estúdio Didáctico,17.4,13.05,24.99999999999999,Rede Sem Fronteiras,D51
109,2021-08-28,9789899011083,,"A Aventura Do Barry, Um Amigo De Quatro Patas",Dulce Rodrigues,Estúdio Didáctico,17.4,13.05,24.99999999999999,Rede Sem Fronteiras,D51
110,2021-08-29,9789899011083,,"A Aventura Do Barry, Um Amigo De Quatro Patas",Dulce Rodrigues,Estúdio Didáctico,17.4,13.05,24.99999999999999,Rede Sem Fronteiras,D51
111,2021-08-30,9789899011083,,"A Aventura Do Barry, Um Amigo De Quatro Patas",Dulce Rodrigues,Estúdio Didáctico,17.4,13.05,24.99999999999999,Rede Sem Fronteiras,D51
112,2021-08-31,9789899011083,,"A Aventura Do Barry, Um Amigo De Quatro Patas",Dulce Rodrigues,Estúdio Didáctico,17.4,13.05,24.99999999999999,Rede Sem Fronteiras,D51
113,2021-08-29,9789899994447,,A Balada De Amor E Morte Do Porta-Estandarte Christoph Rilke,"Rainer Maria Rilke, Tradução E Posfácio De Bruno C. Duarte",Edições Do Saguão,13.0,7.5,42.30769230769231,Saguão | Dois Dias | Ymago,C53
114,2021-08-26,9789899994409,,A Balada Do Velho Marinheiro,"S. T. Coleridge, Tradução E Posfácio De Alberto Pimenta",Edições Do Saguão,12.8,7.5,41.40625000000001,Saguão | Dois Dias | Ymago,C53
115,2021-08-29,9789898327635,✅,A Baleia,,Orfeu Mini,14.5,8.7,40.0,Orfeu Negro | Pato Lógico,A40
116,2021-09-11,9789898327635,✅,A Baleia,,Orfeu Mini,14.5,8.7,40.0,Orfeu Negro | Pato Lógico,A40
117,2021-09-08,9789898868213,,A Baleia - Livro & Puzzle De Cubos,,Orfeu Mini,19.9,9.95,50.0,Orfeu Negro | Pato Lógico,A38
118,2021-09-03,9789895420063,,A Batalha Da Escuridão,Bruno Martins Soares,Editorial Divergência,17.0,10.2,40.0,Convergência,D20
119,2021-09-01,9789898506047,,A Bíblia Do Meu Batismo,Lizzie Ribbons,Grão De Mostarda,9.99,5.99,40.04004004004004,Vasp Premium,A46
120,2021-09-06,9789896445997,,A Bíblia Dos Segredos Das Avós,Martina Krcmár,Temas E Debates,27.7,13.85,50.0,Bertrand Editora,B22
121,2021-08-29,9789724252223,,A Bíblia Dos Segredos Das Avós,Martina Krčmár,Círculo De Leitores,34.9,17.45,50.0,Círculo De Leitores,B24
122,2021-09-05,9789724252513,,A Bíblia Explicada Pela Pintura,Gérard Denizeau,Círculo De Leitores,37.0,18.5,50.0,Círculo De Leitores,B24
123,2021-08-30,9789897543944,,A Biblioteca Secreta De Leonardo,Francesco Fioretti,Marcador Editora,16.9,8.45,50.0,Editorial Presença,B60
124,2021-09-02,9789722340250,,A Bolsa Para Iniciados,Fernando Braga De Matos,Editorial Presença,16.9,8.45,50.0,Editorial Presença,A75
125,2021-09-10,9789896652685,✅,A Boneca De Kokoschka,Afonso Cruz,Companhia Das Letras,16.9,10.14,39.99999999999999,Penguin Random House,A113
126,2021-09-12,9789898975171,,A Brincar Também Se Educa,Ines Afonso Marques,Manuscrito Editora,14.9,7.45,50.0,Editorial Presença,A85
127,2021-09-09,9788498715293,,A Bruxa Arreganhadentes,,Oqo Editora,14.0,10.5,25.0,Estúdio Didáctico – Edinok,D01
128,2021-09-11,9789896554026,,A Caixa Mágica E Outras Histórias,Raquel Delgado,Prime Books,8.9,5.34,40.0,Vasp Premium,A46
129,2021-08-31,9789724817736,,A Caminho De S. Taigo,D.Lourenço José De Almada,Lello Editores,23.5,14.0,40.42553191489361,Lello Editores,A11
130,2021-09-12,9789724817736,,A Caminho De S. Taigo,D.Lourenço José De Almada,Lello Editores,23.5,14.0,40.42553191489361,Lello Editores,A11
131,2021-08-28,9789896688080,,A Canção Do Órfão,Lauren Kate,Topseller,17.69,10.61,40.02261164499718,20|20 Editora,C27
132,2021-08-28,9789722723541,,"A Capela De São João Batista Da Igreja De São Roque: A Encomenda, A Obra, As Coleções",Teresa Leonor M. Vale,Scml,40.0,24.0,40.0,Santa Casa Da Misericórdia De Lisboa,B02
133,2021-09-02,9789898881120,✅,A Caravana Encantada,Beatrix Potter,Pim! Edições,16.6,8.3,50.0,Ponto De Fuga / Pim! / Edições,A15
134,2021-09-09,9789898682215,,A Casa Da Lua,Cidália Fernandes,Mosaico De Palavras Editora,15.0,5.0,66.66666666666666,Mosaico De Palavras Editora,A13
135,2021-08-28,9789728781187,✅,A Casa Da Mosca Fosca,Eva Mejuto (Adapt.),Kalandraka,12.5,7.5,40.0,Kalandraka,C15
136,2021-09-06,9789722364768,,A Casa Dos Livros Proibidos,Olalla Garcia,Editorial Presença,19.9,9.95,50.0,Editorial Presença,A79
137,2021-08-28,9728311567,,A Casa No Século Vinte,Richard Weston,Blaubookshop – Chili Com Carne,63.0,16.0,74.60317460317461,Blaubookshop – Chili Com Carne,D28
138,2021-09-10,9728311567,,A Casa No Século Vinte,Richard Weston,Blaubookshop – Chili Com Carne,63.0,16.0,74.60317460317461,Blaubookshop – Chili Com Carne,D28
139,2021-08-29,9789899801912,,A Casinha Dos Prazeres,Jean-François De Bastide,Abysmo,24.0,12.5,47.91666666666667,Abysmo | Arranha-Céus,D39
140,2021-09-10,9789896652579,,A Catedral Do Mar,Ildefonso Falcones,Suma De Letras (Prh),20.9,12.54,40.0,Penguin Random House,A111
141,2021-08-26,9788599152157,,A Chácara Da D. Cota,Álvaro Luiz Cardoso,Reverbo Editora,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
142,2021-08-27,9788599152157,,A Chácara Da D. Cota,Álvaro Luiz Cardoso,Reverbo Editora,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
143,2021-08-28,9789728645687,,A Chave,Rui Herbon,Parceria Am Pereira,7.9,4.74,40.0,Vasp Premium,A46
144,2021-09-12,9789898917324,,A Chave De Loki,Mark Lawrence,Topseller,22.99,13.79,40.01739886907351,20|20 Editora,D62
145,2021-09-04,9789895434046,,A Cidade Das Crianças,Francesco Tonucci,Faktoria K De Livros,17.5,10.5,40.0,Kalandraka,C15
146,2021-09-12,9789729086397,,"A Cidade Do Saber: Estudo Do Património Artístico Integrado Nos Edifícios Projectados Pelo Arquitecto Porfírio Pardal Monteiro Para A Cidade Universitária De Lisboa, (1934-1961)","Pascoal, Ana Mehnert",Museus,15.0,9.0,40.0,Imprensa Universidade Lisboa,D49
147,2021-09-04,9789724081557,,A Ciência Económica Em Portugal,Vítor Manuel Leite Neves (Coord.),Almedina,19.9,11.94,40.0,Grupo Almedina,B68
148,2021-08-29,9789897220593,,A Civilização Do Espetáculo,Mario Vargas Llosa,Quetzal,16.6,8.3,50.0,Bertrand Editora,A41
149,2021-08-29,9789722535670,,A Coisa - Livro I,Stephen King,Bertrand,22.2,11.1,50.0,Bertrand Editora,A25
150,2021-09-11,9789722535670,,A Coisa - Livro I,Stephen King,Bertrand,22.2,11.1,50.0,Bertrand Editora,A25
151,2021-08-26,9788536649184,,A Coitadinha,Marly Lopes,Grupo Editorial Scortecci / Editora Pingo De Letra,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
152,2021-08-27,9788536649184,,A Coitadinha,Marly Lopes,Grupo Editorial Scortecci / Editora Pingo De Letra,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
153,2021-08-28,9788536649184,,A Coitadinha,Marly Lopes,Grupo Editorial Scortecci / Editora Pingo De Letra,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
154,2021-08-29,9788536649184,,A Coitadinha,Marly Lopes,Grupo Editorial Scortecci / Editora Pingo De Letra,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
155,2021-08-30,9788536649184,,A Coitadinha,Marly Lopes,Grupo Editorial Scortecci / Editora Pingo De Letra,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
156,2021-08-31,9788536649184,,A Coitadinha,Marly Lopes,Grupo Editorial Scortecci / Editora Pingo De Letra,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
157,2021-09-02,9789727086375,,A Condição Humana,Hannah Arendt,Relógio D’água Editores,21.0,12.0,42.857142857142854,Relógio D’água Editores,A121
158,2021-09-12,9788491392545,,A Conspiração Da Senhora Parrish,Liv Constantine,Harper Collins,18.9,11.34,40.0,Vasp Premium,A46
159,2021-08-27,9789726292135,,A Constituição E A Administração Pública,Paulo Otero (et. al),AAFDL Editora,8.0,4.8,40.0,AAFDL Editora,B31
160,2021-08-27,9789898928092,,A Constituição Inglesa,Walter Bagehot,Imprensa Da Universidade De Lisboa,18.9,11.34,40.0,Imprensa Universidade Lisboa,D49
161,2021-09-04,9789896734824,,A Construção De Jesus,José Tolentino Mendonça,Paulinas Editora,15.3,9.18,40.0,Paulinas Editora,B40
162,2021-09-06,9789898342621,,A Cor Das Faias,Epigmenio Rodríguez,Lema D'origem - Editora,15.0,10.2,32.00000000000001,Lema D’origem Editora,D22
163,2021-08-27,9789899003552,,A Cor Do Tempo,Ricardo Jorge Claudino,Cordel D Prata,15.0,12.0,20.0,Cordel D’prata,B23
164,2021-09-09,9789896656805,,A Cor Púrpura,Alice Walker,Suma De Letras (Prh),17.5,10.5,40.0,Penguin Random House,A111
165,2021-09-03,9789722365024,✅,A Coragem De Cilka,Heather Morris,Editorial Presença,17.9,8.95,50.0,Editorial Presença,A79
166,2021-08-29,9798558983753,,A Coroa De Jesus,André Mateus,Ego Editora,14.0,12.0,14.285714285714285,Ego Editora,D08
167,2021-09-03,9789895640034,,A Costureira De Dachau,Mary Chamberlain,Topseller,19.99,12.0,39.969984992496244,20|20 Editora,C27
168,2021-08-28,9789896687526,,A Cripta Dos Capuchinhos,Joseph Roth,Cavalo De Ferro,14.99,8.99,40.0266844563042,20|20 Editora,D52
169,2021-09-04,9789898928108,,A Crise Da Consciência Europeia,Paul Hazard,Imprensa Da Universidade De Lisboa,21.9,13.14,39.99999999999999,Imprensa Universidade Lisboa,D49
170,2021-09-12,9789898928108,,A Crise Da Consciência Europeia,Paul Hazard,Imprensa Da Universidade De Lisboa,21.9,13.14,39.99999999999999,Imprensa Universidade Lisboa,D49
171,2021-09-05,9789899702905,✅,A Crocodila Mandona,,Tcharan,12.9,7.74,40.0,Orfeu Negro | Pato Lógico,A38
172,2021-09-01,9789725402948,,A Cultura Portuguesa No Divã,Isabel Capeloa Gil | Adriana Martins,Universidade Católica Editora,15.9,4.77,70.0,Universidade Católica Editora,B80
173,2021-08-29,9788582715550,,"A Cura Do Ciúme - Aprenda A Confiar, Supere A Possessividade E Salve Seu Relacionamento","Leahy, Robert L.",Artmed,15.9,9.54,40.00000000000001,Booki | Sabooks,B25
174,2021-08-30,9789899507784,,A Cura Pelo Ki,Toshihiko Yayama,Publicações Maitreya,20.0,12.0,40.0,Publicações Maitreya,D55
175,2021-08-28,9788540025745,,A Curva Do Caminho,Angelina Da Conceição,Ventura Editora,6.0,4.5,25.0,Rede Sem Fronteiras,D51
176,2021-08-29,9788540025745,,A Curva Do Caminho,Angelina Da Conceição,Ventura Editora,6.0,4.5,25.0,Rede Sem Fronteiras,D51
177,2021-08-30,9788540025745,,A Curva Do Caminho,Angelina Da Conceição,Ventura Editora,6.0,4.5,25.0,Rede Sem Fronteiras,D51
178,2021-08-31,9788540025745,,A Curva Do Caminho,Angelina Da Conceição,Ventura Editora,6.0,4.5,25.0,Rede Sem Fronteiras,D51
