,dia,isbn,PNL,Titulo,Autor,Chancela,pvp,pvp_livro_do_dia,desconto_livrdia_perc,Participant_Name,stand
2570,2021-09-12,9789898881274,,Mais Pesado Do Que O Céu - A Biografia Definitiva De Kurt Cobain,Charles R. Cross,Pim! Edições,21.9,10.95,50.0,Ponto De Fuga / Pim! / Edições,A15
2571,2021-09-02,9789722533140,,Mais Poderosa Que A Espada,Jeffrey Archer,Bertrand,17.7,8.85,50.0,Bertrand Editora,A29
2572,2021-08-28,9789896762650,,Mais Que Mil Imagens,António Mega Ferreira,Sextante Editora (Chancela),25.0,12.5,50.0,Porto Editora,A47
2573,2021-08-31,9789896762650,,Mais Que Mil Imagens,António Mega Ferreira,Sextante Editora (Chancela),25.0,12.5,50.0,Porto Editora,A47
2574,2021-09-05,9789896762650,,Mais Que Mil Imagens,António Mega Ferreira,Sextante Editora (Chancela),25.0,12.5,50.0,Porto Editora,A47
2575,2021-09-10,9789896762650,,Mais Que Mil Imagens,António Mega Ferreira,Sextante Editora (Chancela),25.0,12.5,50.0,Porto Editora,A47
2576,2021-09-10,9789896875404,,"Mais Vasto Do Que O Céu, Maior Do Que O Espaço",Mooji,Pergaminho,16.6,8.3,50.0,Bertrand Editora,B14
2577,2021-08-26,9789898994271,,"Maitreya Vem, Com A Ordem Espiritual De Portugal",Maria Ferreira Da Silva,Publicações Maitreya,10.0,5.0,50.0,Publicações Maitreya,D55
2578,2021-09-07,9789896713652,✅,Malparado,Pedro Mexia,Tinta-Da-China,15.9,10.0,37.106918238993714,Tinta-Da-China,C14
2579,2021-09-09,9789722344296,,Mamã Maravilha,"Elen Lescoat, Elen Lescoat, Orianne Lallemand",Editorial Presença,10.9,5.45,50.0,Editorial Presença,B54
2580,2021-09-09,9789898145727,✅,Mana,Joana Estrela,Planeta Tangerina,12.5,7.5,40.0,Prodidáctico,C11
2581,2021-08-28,9789895470839,,Mandado De Libertação,Ghérasim Luca,Não Edições,14.0,11.2,20.000000000000004,Livros De Bordo,D35
2582,2021-08-31,9789895470839,,Mandado De Libertação,Ghérasim Luca,Não Edições,14.0,11.2,20.000000000000004,Livros De Bordo,D35
2583,2021-09-05,9789895470839,,Mandado De Libertação,Ghérasim Luca,Não Edições,14.0,11.2,20.000000000000004,Livros De Bordo,D35
2584,2021-09-09,9789895470839,,Mandado De Libertação,Ghérasim Luca,Não Edições,14.0,11.2,20.000000000000004,Livros De Bordo,D35
2585,2021-09-01,9789896873769,,Manhãs Milagrosas,Hal Elrod,Pergaminho,15.5,7.75,50.0,Bertrand Editora,B28
2586,2021-09-10,9789896714574,,Manhattan 45,Jan Morris,Tinta-Da-China,21.9,14.0,36.07305936073059,Tinta-Da-China,C16
2587,2021-09-01,9789897021749,,Manifesto Comunista,Karl Marx,"Guerra E Paz, Editores",22.0,13.2,40.0,Guerra E Paz  Editores,A50
2588,2021-09-02,9789898868626,,Manifesto Contra-Sexual,,Orfeu Negro,17.0,10.2,40.0,Orfeu Negro | Pato Lógico,A40
2589,2021-09-07,9789898268327,,Manifestos Do Surrealismo,E. M. Cioran,Letra Livre,16.0,9.6,40.0,Livraria Letra Livre,D21
2590,2021-09-11,9789726292753,,Manual De Administração E Governação Pública Volume I,Nuno Miguel Cunha Rolo,AAFDL Editora,19.9,11.94,40.0,AAFDL Editora,B31
2591,2021-09-03,9789725925614,,Manual De Contabilidade 2ª. Ed,Vários,Escolar Editora,39.9,23.94,40.0,Clássica Editora,A51
2592,2021-09-10,9789725925522,,Manual De Contabilidade E Finanças  Para Não Financeiros 2ª,Vários,Escolar Editora,42.9,25.74,40.0,Clássica Editora,A51
